#(id,from,to,speed,planTime)
(10000, 10, 28, 2, 3)
(10001, 17, 35, 2, 3)
(10002, 15, 36, 2, 2)
(10003, 25, 5, 2, 3)
(10004, 11, 30, 4, 1)
(10005, 27, 4, 4, 1)
(10006, 9, 36, 2, 2)
(10007, 7, 33, 6, 2)
(10008, 34, 1, 4, 3)
(10009, 13, 33, 4, 2)
(10010, 8, 27, 2, 3)
(10011, 3, 24, 6, 3)
(10012, 14, 32, 6, 2)
(10013, 19, 1, 4, 2)
(10014, 3, 23, 6, 2)
(10015, 21, 2, 4, 1)
(10016, 2, 26, 4, 1)
(10017, 21, 1, 4, 2)
(10018, 14, 32, 2, 1)
(10019, 29, 3, 6, 2)
(10020, 31, 2, 2, 2)
(10021, 9, 27, 4, 2)
(10022, 10, 35, 6, 1)
(10023, 26, 4, 2, 2)
(10024, 20, 2, 6, 3)
(10025, 4, 22, 6, 1)
(10026, 7, 29, 4, 1)
(10027, 22, 4, 2, 3)
(10028, 10, 33, 4, 1)
(10029, 28, 7, 2, 2)
(10030, 33, 4, 2, 3)
(10031, 23, 5, 2, 1)
(10032, 31, 9, 4, 2)
(10033, 15, 36, 6, 2)
(10034, 30, 6, 2, 2)
(10035, 34, 5, 2, 3)
(10036, 33, 9, 6, 1)
(10037, 26, 6, 4, 3)
(10038, 20, 1, 2, 2)
(10039, 31, 9, 2, 2)
(10040, 5, 26, 4, 1)
(10041, 20, 1, 6, 1)
(10042, 26, 5, 2, 1)
(10043, 3, 22, 4, 1)
(10044, 32, 14, 6, 3)
(10045, 30, 7, 4, 1)
(10046, 28, 10, 2, 1)
(10047, 23, 2, 4, 1)
(10048, 24, 4, 6, 2)
(10049, 24, 3, 4, 2)
(10050, 25, 1, 4, 2)
(10051, 26, 5, 4, 3)
(10052, 17, 35, 2, 3)
(10053, 21, 3, 4, 1)
(10054, 18, 36, 6, 3)
(10055, 20, 2, 6, 1)
(10056, 8, 33, 2, 3)
(10057, 10, 30, 6, 1)
(10058, 34, 7, 4, 2)
(10059, 12, 32, 4, 3)
(10060, 31, 7, 4, 3)
(10061, 7, 29, 4, 3)
(10062, 25, 7, 2, 2)
(10063, 36, 15, 2, 3)
(10064, 18, 36, 6, 3)
(10065, 24, 6, 4, 1)
(10066, 11, 33, 2, 2)
(10067, 30, 1, 4, 3)
(10068, 1, 22, 2, 3)
(10069, 12, 32, 2, 3)
(10070, 28, 7, 6, 1)
(10071, 7, 28, 6, 2)
(10072, 4, 31, 4, 1)
(10073, 21, 2, 2, 3)
(10074, 28, 8, 6, 3)
(10075, 6, 29, 4, 1)
(10076, 17, 35, 4, 3)
(10077, 1, 27, 2, 1)
(10078, 33, 11, 6, 1)
(10079, 13, 33, 4, 3)
(10080, 18, 36, 4, 1)
(10081, 19, 1, 6, 1)
(10082, 7, 33, 4, 1)
