#(id,from,to,speed,planTime)
(10000, 16, 35, 6, 2)
(10001, 1, 36, 2, 3)
(10002, 7, 36, 4, 2)
(10003, 9, 35, 2, 1)
(10004, 7, 31, 4, 3)
(10005, 9, 27, 6, 2)
(10006, 26, 4, 4, 2)
(10007, 8, 31, 2, 2)
(10008, 22, 1, 2, 3)
(10009, 36, 6, 2, 2)
(10010, 14, 36, 6, 3)
(10011, 2, 27, 4, 1)
(10012, 33, 14, 2, 1)
(10013, 34, 1, 2, 1)
(10014, 20, 1, 2, 3)
(10015, 18, 36, 2, 3)
(10016, 12, 31, 4, 2)
(10017, 35, 3, 6, 1)
(10018, 27, 6, 2, 2)
(10019, 7, 33, 6, 3)
(10020, 11, 35, 4, 3)
(10021, 18, 36, 2, 3)
(10022, 32, 9, 2, 3)
(10023, 33, 4, 4, 1)
(10024, 29, 4, 2, 2)
(10025, 16, 34, 2, 3)
(10026, 14, 34, 2, 1)
(10027, 9, 35, 2, 2)
(10028, 28, 3, 2, 2)
(10029, 23, 1, 2, 3)
(10030, 5, 24, 6, 1)
(10031, 6, 29, 4, 3)
(10032, 14, 36, 6, 3)
(10033, 6, 33, 6, 1)
(10034, 15, 33, 4, 3)
(10035, 10, 29, 4, 2)
(10036, 14, 34, 6, 2)
(10037, 5, 28, 6, 1)
(10038, 7, 33, 4, 3)
(10039, 6, 31, 6, 3)
(10040, 16, 36, 2, 2)
(10041, 26, 4, 2, 3)
(10042, 21, 3, 2, 1)
(10043, 2, 32, 4, 1)
(10044, 16, 34, 6, 1)
(10045, 6, 34, 4, 2)
(10046, 27, 5, 4, 1)
(10047, 28, 10, 2, 3)
(10048, 28, 1, 2, 1)
(10049, 8, 26, 6, 2)
(10050, 15, 34, 4, 3)
(10051, 24, 5, 2, 2)
(10052, 36, 17, 4, 2)
(10053, 23, 4, 2, 1)
(10054, 25, 6, 4, 3)
(10055, 26, 6, 2, 3)
(10056, 30, 8, 6, 3)
(10057, 1, 22, 4, 2)
(10058, 36, 2, 2, 2)
(10059, 15, 36, 4, 3)
(10060, 20, 2, 6, 3)
(10061, 28, 10, 4, 2)
(10062, 11, 34, 2, 2)
(10063, 25, 1, 6, 1)
(10064, 18, 36, 4, 3)
(10065, 31, 7, 4, 1)
(10066, 17, 35, 2, 1)
(10067, 31, 10, 4, 3)
(10068, 28, 7, 6, 2)
(10069, 25, 3, 6, 2)
(10070, 6, 29, 4, 1)
(10071, 14, 33, 6, 2)
(10072, 32, 12, 2, 1)
(10073, 27, 4, 4, 2)
(10074, 8, 30, 6, 1)
(10075, 26, 3, 2, 3)
(10076, 32, 3, 6, 2)
(10077, 25, 7, 6, 3)
(10078, 23, 4, 4, 3)
(10079, 30, 10, 6, 1)
(10080, 31, 3, 2, 3)
(10081, 27, 5, 6, 2)
(10082, 35, 3, 2, 2)
(10083, 20, 1, 4, 3)
(10084, 4, 35, 4, 3)
(10085, 23, 4, 4, 2)
(10086, 18, 36, 2, 3)
(10087, 12, 33, 2, 2)
(10088, 23, 2, 2, 2)
(10089, 10, 34, 2, 3)
(10090, 6, 36, 4, 3)
(10091, 2, 30, 6, 2)
(10092, 2, 31, 6, 3)
(10093, 15, 33, 6, 1)
(10094, 14, 34, 4, 3)
(10095, 29, 2, 2, 2)
(10096, 31, 9, 6, 1)
(10097, 16, 35, 4, 2)
(10098, 8, 34, 2, 3)
(10099, 27, 6, 2, 3)
(10100, 17, 35, 4, 2)
(10101, 36, 2, 2, 1)
(10102, 12, 36, 6, 3)
(10103, 25, 3, 6, 2)
(10104, 31, 8, 4, 2)
(10105, 29, 4, 6, 3)
(10106, 33, 3, 6, 2)
(10107, 30, 10, 4, 1)
(10108, 32, 11, 2, 1)
(10109, 23, 2, 4, 3)
(10110, 1, 34, 6, 1)
(10111, 25, 7, 4, 2)
(10112, 14, 32, 6, 3)
(10113, 28, 10, 2, 1)
(10114, 36, 8, 2, 3)
(10115, 9, 30, 4, 2)
(10116, 21, 1, 2, 2)
(10117, 12, 35, 6, 1)
(10118, 26, 6, 4, 3)
(10119, 32, 13, 2, 3)
(10120, 3, 23, 6, 2)
(10121, 11, 31, 2, 3)
(10122, 14, 35, 6, 1)
(10123, 19, 1, 2, 2)
(10124, 31, 1, 4, 1)
(10125, 21, 2, 2, 2)
(10126, 16, 34, 4, 1)
(10127, 2, 34, 2, 3)
(10128, 1, 30, 6, 1)
(10129, 18, 36, 6, 3)
(10130, 21, 2, 2, 2)
(10131, 29, 10, 2, 3)
(10132, 6, 29, 6, 3)
(10133, 14, 32, 4, 1)
(10134, 13, 36, 2, 2)
(10135, 34, 12, 4, 2)
(10136, 19, 1, 4, 3)
(10137, 2, 24, 2, 1)
(10138, 26, 2, 4, 1)
(10139, 30, 7, 4, 3)
(10140, 19, 1, 6, 3)
(10141, 27, 4, 4, 1)
(10142, 13, 36, 2, 3)
(10143, 32, 13, 4, 2)
(10144, 29, 8, 4, 3)
(10145, 7, 27, 4, 2)
(10146, 12, 34, 6, 2)
(10147, 28, 10, 2, 3)
(10148, 35, 7, 4, 3)
(10149, 31, 4, 4, 3)
(10150, 8, 28, 6, 1)
(10151, 6, 25, 4, 2)
(10152, 30, 12, 2, 1)
(10153, 18, 36, 6, 2)
(10154, 33, 13, 2, 2)
(10155, 32, 5, 2, 1)
(10156, 6, 25, 2, 2)
(10157, 11, 35, 4, 3)
(10158, 11, 35, 2, 3)
(10159, 16, 35, 2, 2)
(10160, 10, 33, 2, 2)
(10161, 19, 1, 4, 3)
(10162, 11, 31, 4, 1)
(10163, 5, 27, 6, 1)
(10164, 1, 36, 6, 1)
(10165, 10, 35, 6, 2)
(10166, 16, 35, 6, 2)
(10167, 6, 25, 2, 2)
(10168, 1, 33, 6, 3)
(10169, 12, 36, 6, 1)
(10170, 31, 10, 6, 3)
(10171, 30, 9, 6, 3)
(10172, 30, 9, 4, 2)
(10173, 7, 32, 4, 1)
(10174, 1, 28, 6, 1)
(10175, 10, 35, 2, 2)
(10176, 23, 4, 2, 3)
(10177, 32, 14, 4, 3)
(10178, 10, 36, 2, 1)
(10179, 29, 5, 2, 2)
(10180, 19, 1, 2, 3)
(10181, 17, 35, 2, 1)
(10182, 20, 2, 6, 1)
(10183, 21, 2, 6, 3)
(10184, 9, 36, 4, 3)
(10185, 20, 1, 4, 3)
(10186, 5, 28, 2, 1)
(10187, 10, 34, 6, 1)
(10188, 17, 35, 6, 1)
(10189, 16, 36, 2, 1)
(10190, 36, 4, 6, 3)
(10191, 32, 12, 6, 1)
(10192, 23, 4, 2, 2)
(10193, 30, 11, 6, 2)
(10194, 6, 34, 4, 3)
(10195, 13, 34, 6, 1)
(10196, 7, 32, 2, 2)
(10197, 18, 36, 6, 2)
(10198, 20, 1, 4, 1)
(10199, 11, 33, 4, 2)
(10200, 23, 4, 4, 2)
(10201, 35, 17, 4, 2)
(10202, 16, 35, 4, 3)
(10203, 14, 35, 4, 2)
(10204, 30, 7, 2, 1)
(10205, 29, 4, 2, 3)
(10206, 16, 36, 4, 2)
(10207, 14, 35, 2, 3)
(10208, 17, 36, 2, 2)
(10209, 18, 36, 2, 2)
(10210, 9, 35, 6, 2)
(10211, 3, 27, 4, 3)
(10212, 20, 1, 4, 3)
(10213, 21, 1, 4, 2)
(10214, 6, 35, 2, 2)
(10215, 30, 7, 6, 1)
(10216, 34, 3, 6, 3)
(10217, 8, 27, 4, 3)
(10218, 12, 31, 6, 2)
(10219, 36, 11, 2, 3)
(10220, 26, 2, 4, 1)
(10221, 9, 33, 6, 1)
(10222, 2, 34, 2, 2)
(10223, 12, 34, 6, 2)
(10224, 15, 34, 2, 2)
(10225, 9, 31, 6, 3)
(10226, 1, 34, 4, 1)
(10227, 29, 1, 4, 1)
(10228, 25, 3, 2, 2)
(10229, 24, 3, 4, 2)
(10230, 12, 36, 6, 1)
(10231, 31, 11, 4, 2)
(10232, 33, 2, 6, 3)
(10233, 9, 35, 6, 3)
(10234, 31, 1, 6, 2)
(10235, 22, 1, 4, 3)
(10236, 29, 6, 2, 2)
(10237, 17, 35, 6, 1)
(10238, 18, 36, 4, 1)
(10239, 14, 36, 4, 3)
(10240, 9, 34, 2, 3)
(10241, 21, 1, 6, 3)
(10242, 20, 1, 4, 3)
(10243, 8, 33, 6, 2)
(10244, 3, 34, 2, 1)
(10245, 33, 5, 6, 1)
(10246, 19, 1, 4, 1)
(10247, 32, 7, 6, 1)
(10248, 21, 2, 4, 3)
(10249, 33, 10, 2, 3)
(10250, 20, 1, 2, 2)
(10251, 35, 16, 4, 1)
(10252, 4, 30, 2, 3)
(10253, 36, 9, 6, 3)
(10254, 7, 34, 4, 2)
(10255, 6, 26, 4, 2)
(10256, 16, 36, 2, 3)
(10257, 33, 14, 4, 3)
