#(id,from,to,speed,planTime)
(10000, 2, 31, 4, 3)
(10001, 2, 20, 4, 6)
(10002, 27, 2, 4, 5)
(10003, 1, 28, 2, 3)
(10004, 15, 34, 2, 1)
(10005, 17, 35, 4, 5)
(10006, 14, 33, 2, 6)
(10007, 29, 4, 4, 3)
(10008, 5, 23, 2, 6)
(10009, 36, 7, 2, 2)
(10010, 4, 36, 6, 2)
(10011, 31, 10, 6, 2)
(10012, 1, 25, 4, 1)
(10013, 10, 30, 2, 1)
(10014, 11, 29, 4, 3)
(10015, 5, 26, 2, 6)
(10016, 32, 8, 2, 4)
(10017, 3, 22, 4, 6)
(10018, 12, 30, 2, 4)
(10019, 15, 33, 6, 2)
(10020, 22, 2, 6, 4)
(10021, 24, 3, 6, 4)
(10022, 17, 35, 2, 1)
(10023, 35, 12, 4, 2)
(10024, 30, 9, 2, 3)
(10025, 34, 6, 2, 3)
(10026, 35, 14, 6, 1)
(10027, 21, 2, 6, 6)
(10028, 29, 2, 6, 3)
(10029, 3, 25, 6, 3)
(10030, 2, 34, 4, 3)
(10031, 7, 34, 4, 2)
(10032, 17, 36, 4, 6)
(10033, 19, 1, 6, 3)
(10034, 3, 25, 4, 4)
(10035, 1, 21, 4, 3)
(10036, 34, 6, 6, 5)
(10037, 6, 24, 2, 5)
(10038, 22, 4, 4, 5)
(10039, 29, 9, 4, 2)
(10040, 30, 1, 4, 5)
(10041, 12, 36, 2, 6)
(10042, 14, 34, 2, 2)
(10043, 30, 12, 4, 1)
(10044, 5, 31, 2, 4)
(10045, 4, 28, 2, 2)
(10046, 16, 35, 4, 6)
(10047, 13, 34, 4, 4)
(10048, 29, 4, 6, 3)
(10049, 36, 7, 2, 5)
(10050, 35, 2, 4, 4)
(10051, 10, 30, 2, 2)
(10052, 19, 1, 6, 1)
(10053, 18, 36, 6, 4)
(10054, 31, 8, 2, 3)
(10055, 36, 18, 6, 5)
(10056, 1, 34, 6, 6)
(10057, 26, 4, 2, 2)
(10058, 14, 36, 6, 3)
(10059, 9, 30, 2, 6)
(10060, 21, 1, 4, 1)
(10061, 5, 23, 4, 4)
(10062, 14, 33, 4, 2)
(10063, 17, 36, 2, 1)
(10064, 5, 35, 6, 5)
(10065, 5, 29, 4, 5)
(10066, 19, 1, 4, 6)
(10067, 10, 34, 4, 4)
(10068, 29, 7, 2, 3)
(10069, 7, 32, 6, 5)
(10070, 2, 26, 6, 4)
(10071, 11, 29, 2, 5)
(10072, 34, 16, 6, 4)
(10073, 20, 2, 2, 2)
(10074, 26, 4, 6, 3)
(10075, 17, 36, 4, 5)
(10076, 32, 11, 6, 4)
(10077, 32, 2, 2, 3)
(10078, 30, 5, 2, 4)
(10079, 30, 6, 6, 5)
(10080, 4, 23, 4, 2)
(10081, 20, 1, 4, 4)
(10082, 26, 2, 2, 1)
(10083, 12, 31, 2, 5)
(10084, 34, 3, 2, 4)
(10085, 24, 6, 4, 2)
(10086, 21, 2, 6, 6)
(10087, 8, 34, 6, 1)
(10088, 4, 34, 6, 5)
(10089, 31, 12, 4, 3)
(10090, 7, 36, 4, 1)
(10091, 22, 2, 6, 4)
(10092, 36, 18, 6, 5)
(10093, 22, 1, 6, 2)
(10094, 32, 7, 6, 1)
(10095, 14, 32, 4, 2)
(10096, 6, 30, 6, 6)
(10097, 2, 22, 6, 4)
(10098, 23, 5, 6, 5)
(10099, 12, 34, 4, 5)
(10100, 9, 27, 2, 2)
(10101, 11, 36, 2, 2)
(10102, 36, 1, 4, 2)
(10103, 32, 1, 4, 3)
(10104, 26, 5, 4, 2)
(10105, 16, 36, 4, 5)
(10106, 7, 36, 2, 2)
(10107, 24, 2, 6, 1)
(10108, 11, 31, 2, 1)
(10109, 10, 30, 2, 4)
(10110, 31, 11, 6, 6)
(10111, 13, 33, 2, 5)
(10112, 12, 36, 6, 4)
(10113, 26, 3, 2, 5)
(10114, 30, 8, 4, 2)
(10115, 15, 35, 6, 1)
(10116, 21, 2, 2, 4)
(10117, 2, 29, 4, 3)
(10118, 15, 35, 4, 4)
(10119, 31, 5, 2, 4)
(10120, 34, 5, 4, 4)
(10121, 9, 28, 6, 3)
(10122, 26, 6, 2, 2)
(10123, 22, 1, 4, 3)
(10124, 30, 4, 2, 5)
(10125, 10, 34, 6, 1)
(10126, 2, 33, 4, 6)
(10127, 4, 25, 6, 1)
(10128, 15, 34, 4, 4)
(10129, 4, 22, 4, 1)
(10130, 13, 36, 6, 4)
(10131, 36, 8, 2, 3)
(10132, 11, 29, 6, 3)
(10133, 4, 24, 2, 3)
(10134, 7, 33, 6, 5)
(10135, 3, 25, 4, 2)
(10136, 30, 2, 2, 1)
(10137, 13, 31, 6, 1)
(10138, 6, 35, 6, 2)
(10139, 11, 32, 6, 4)
(10140, 30, 3, 2, 1)
(10141, 36, 17, 6, 5)
(10142, 7, 27, 2, 1)
(10143, 13, 33, 6, 2)
(10144, 24, 2, 2, 5)
(10145, 27, 2, 2, 4)
(10146, 12, 30, 2, 1)
(10147, 2, 35, 4, 4)
(10148, 27, 9, 4, 2)
(10149, 35, 14, 4, 1)
(10150, 6, 30, 4, 3)
(10151, 11, 30, 4, 5)
(10152, 36, 11, 4, 2)
(10153, 31, 6, 6, 4)
(10154, 19, 1, 6, 5)
(10155, 5, 29, 2, 1)
(10156, 11, 29, 4, 6)
(10157, 4, 34, 6, 5)
(10158, 32, 10, 6, 1)
(10159, 30, 12, 4, 3)
(10160, 28, 6, 4, 2)
(10161, 16, 36, 2, 3)
(10162, 26, 1, 4, 5)
(10163, 28, 3, 4, 2)
(10164, 26, 6, 4, 3)
(10165, 25, 5, 2, 6)
(10166, 32, 12, 2, 2)
(10167, 17, 35, 4, 4)
(10168, 3, 32, 2, 1)
(10169, 35, 2, 6, 5)
(10170, 5, 35, 6, 5)
(10171, 36, 12, 2, 1)
(10172, 6, 34, 6, 4)
(10173, 16, 34, 6, 2)
(10174, 31, 6, 6, 2)
(10175, 6, 35, 4, 5)
(10176, 24, 1, 2, 5)
(10177, 25, 7, 4, 5)
(10178, 8, 28, 2, 6)
(10179, 33, 8, 2, 6)
(10180, 6, 28, 4, 6)
(10181, 32, 12, 6, 3)
(10182, 14, 32, 6, 6)
(10183, 22, 1, 6, 4)
(10184, 22, 2, 6, 1)
(10185, 34, 12, 6, 2)
(10186, 36, 9, 2, 6)
(10187, 15, 35, 4, 4)
(10188, 1, 32, 4, 2)
(10189, 9, 30, 2, 1)
(10190, 36, 3, 6, 1)
(10191, 3, 32, 2, 3)
(10192, 13, 36, 4, 4)
(10193, 22, 2, 4, 3)
(10194, 8, 26, 2, 6)
(10195, 7, 34, 6, 2)
(10196, 6, 30, 4, 4)
(10197, 26, 7, 2, 2)
(10198, 13, 33, 2, 5)
(10199, 14, 33, 2, 5)
(10200, 2, 29, 2, 6)
(10201, 12, 31, 4, 1)
(10202, 18, 36, 2, 1)
(10203, 30, 6, 4, 4)
(10204, 6, 34, 6, 1)
(10205, 24, 2, 6, 1)
(10206, 16, 36, 6, 6)
(10207, 18, 36, 2, 1)
(10208, 3, 23, 4, 4)
(10209, 22, 4, 4, 5)
(10210, 28, 7, 2, 2)
(10211, 6, 33, 4, 1)
(10212, 23, 4, 2, 2)
(10213, 1, 34, 4, 4)
(10214, 23, 1, 2, 6)
(10215, 10, 35, 4, 1)
(10216, 3, 27, 4, 2)
(10217, 28, 1, 6, 6)
(10218, 24, 6, 4, 3)
(10219, 27, 4, 2, 5)
(10220, 14, 36, 6, 6)
(10221, 19, 1, 4, 6)
(10222, 5, 25, 6, 6)
(10223, 11, 30, 2, 6)
(10224, 33, 12, 2, 2)
(10225, 15, 34, 4, 1)
(10226, 35, 4, 2, 5)
(10227, 25, 4, 2, 2)
(10228, 23, 2, 4, 5)
(10229, 11, 34, 6, 4)
(10230, 1, 27, 6, 6)
(10231, 17, 36, 4, 6)
(10232, 16, 36, 6, 1)
(10233, 34, 14, 6, 1)
(10234, 12, 30, 2, 6)
(10235, 36, 8, 4, 6)
(10236, 32, 8, 2, 4)
(10237, 16, 34, 4, 2)
(10238, 11, 33, 6, 3)
(10239, 33, 6, 2, 4)
(10240, 18, 36, 2, 6)
(10241, 26, 1, 4, 3)
(10242, 28, 3, 6, 5)
(10243, 5, 23, 4, 5)
(10244, 13, 32, 4, 3)
(10245, 17, 35, 2, 3)
(10246, 2, 20, 4, 3)
(10247, 1, 32, 2, 2)
(10248, 8, 32, 2, 3)
(10249, 32, 3, 6, 5)
(10250, 14, 32, 6, 5)
(10251, 21, 3, 4, 3)
(10252, 28, 3, 4, 2)
(10253, 32, 14, 6, 1)
(10254, 12, 36, 2, 3)
(10255, 2, 23, 4, 3)
(10256, 31, 1, 2, 5)
(10257, 31, 3, 4, 1)
(10258, 21, 1, 2, 5)
(10259, 11, 33, 4, 2)
(10260, 33, 13, 2, 3)
(10261, 17, 35, 2, 4)
(10262, 6, 25, 6, 4)
(10263, 24, 3, 6, 5)
(10264, 15, 35, 4, 6)
(10265, 35, 10, 4, 3)
(10266, 21, 1, 4, 6)
(10267, 22, 1, 4, 3)
(10268, 1, 24, 2, 4)
(10269, 31, 2, 6, 6)
(10270, 24, 6, 4, 6)
(10271, 34, 9, 6, 1)
(10272, 15, 35, 2, 1)
(10273, 12, 34, 2, 1)
(10274, 13, 34, 2, 1)
(10275, 19, 1, 4, 4)
