#(id,roadId,roadId,roadId,roadId)
(1, 5000, 5005, -1, -1)
(2, 5001, 5006, 5000, -1)
(3, 5002, 5007, 5001, -1)
(4, 5003, 5008, 5002, -1)
(5, 5004, 5009, 5003, -1)
(6, -1, 5010, 5004, -1)
(7, 5011, 5016, -1, 5005)
(8, 5012, 5017, 5011, 5006)
(9, 5013, 5018, 5012, 5007)
(10, 5014, 5019, 5013, 5008)
(11, 5015, 5020, 5014, 5009)
(12, -1, 5021, 5015, 5010)
(13, 5022, 5026, -1, 5016)
(14, -1, 5027, 5022, 5017)
(15, 5023, 5028, -1, 5018)
(16, 5024, 5029, 5023, 5019)
(17, 5025, 5030, 5024, 5020)
(18, -1, 5031, 5025, 5021)
(19, 5032, 5037, -1, 5026)
(20, 5033, 5038, 5032, 5027)
(21, 5034, 5039, 5033, 5028)
(22, 5035, 5040, 5034, 5029)
(23, 5036, 5041, 5035, 5030)
(24, -1, 5042, 5036, 5031)
(25, 5043, 5047, -1, 5037)
(26, -1, 5048, 5043, 5038)
(27, 5044, 5049, -1, 5039)
(28, 5045, 5050, 5044, 5040)
(29, 5046, 5051, 5045, 5041)
(30, -1, 5052, 5046, 5042)
(31, 5053, -1, -1, 5047)
(32, 5054, -1, 5053, 5048)
(33, 5055, -1, 5054, 5049)
(34, 5056, -1, 5055, 5050)
(35, 5057, -1, 5056, 5051)
(36, -1, -1, 5057, 5052)
