#(id,roadId,roadId,roadId,roadId)
(23, 6076, 6887, 6283, 6082)
(25, 6732, 6659, -1, 5213)
(28, 5436, -1, 5733, 6042)
(40, 5469, 6871, -1, 5524)
(48, 5167, 5595, -1, 6798)
(62, 5038, -1, 6068, 5638)
(64, 6673, 5956, 5563, 6004)
(74, 5741, 6817, 5621, -1)
(111, 6929, 6283, 6371, -1)
(128, 5185, 5609, 6285, 5844)
(132, 5658, 5491, 5564, -1)
(133, 6000, 5528, 6074, 5239)
(134, 6878, 6267, 6780, -1)
(150, 5596, 6157, 6212, 5341)
(153, -1, 6780, 6258, 6359)
(154, 6008, -1, 5149, 6457)
(166, 5469, 6507, -1, 5157)
(177, 6471, 6398, 6929, -1)
(199, -1, 6110, 5886, 6516)
(200, 6819, 6878, 5365, 5707)
(202, 6794, 5532, 6161, -1)
(212, -1, 6038, 5330, 6287)
(219, 6810, 6360, 5903, 5046)
(223, 6850, -1, 6948, 6646)
(243, 6454, 5231, 6597, -1)
(248, 5157, 6061, 5559, 5907)
(264, 6157, 6240, 5288, -1)
(281, 6902, -1, 5147, 6504)
(299, -1, 5288, 6721, 6694)
(346, 6620, -1, -1, 6916)
(373, 5167, 5213, -1, 5486)
(382, 5633, 5741, -1, 6109)
(437, -1, 6857, 6140, 5269)
(456, 5330, 6110, -1, 6008)
(487, 5903, 6726, 5504, -1)
(490, 6794, -1, 5643, 5117)
(507, 5824, -1, 6850, 5048)
(515, 6409, 5263, 5501, -1)
(516, 5674, 5988, 6768, 6516)
(533, 6903, 5686, 6409, -1)
(546, 6749, 6517, 6744, 5684)
(569, 6471, -1, 5616, 5596)
(572, 5436, 5674, 5311, -1)
(579, -1, 5323, 6278, 6627)
(599, 6948, 5441, 6330, 5707)
(608, 6129, 6272, 5798, 5882)
(613, 6810, 6777, -1, 5621)
(614, -1, 5327, 5456, 6454)
(643, 5521, 6341, 5559, 6881)
(669, 6900, -1, 5298, 5223)
(685, 5441, -1, 5798, 6112)
(732, 6577, -1, 6442, 6629)
(733, 5355, 6125, 5486, -1)
(743, 6378, 5733, 6179, 5212)
(764, 5876, -1, -1, 6244)
(778, 6057, 6285, 6381, 6881)
(789, 5504, 5491, 6903, -1)
(791, 5064, -1, 6087, 6267)
(799, 5302, -1, 6539, 5438)
(830, 6629, 6068, -1, 6017)
(887, 6618, 5117, 5882, -1)
(901, 6244, -1, 5010, 6749)
(933, 6361, -1, 6694, 6952)
(945, 6768, 5223, 5053, -1)
(962, -1, 5876, 5684, 6836)
(997, 6646, 5365, -1, 5859)
(999, 5263, 6174, -1, 5239)
(1005, -1, 6498, 6778, 5789)
(1015, 5053, 6889, 5587, -1)
(1031, -1, 6359, 6278, 6521)
(1044, 6778, 5598, -1, 6685)
(1053, -1, 6253, 5532, 6618)
(1065, 5570, 5632, 5010, -1)
(1074, 6673, 5147, -1, 6620)
(1080, 5456, 5925, -1, 6242)
(1085, 5846, 6522, -1, 6564)
(1132, 6517, 5632, 6246, 5212)
(1143, 5564, 6726, 5304, -1)
(1146, 5643, -1, 6902, 6129)
(1153, -1, 6161, 5561, 6815)
(1162, 6063, -1, 5789, 5444)
(1166, 6744, 6179, 6435, 5389)
(1168, 6798, -1, 5914, 6732)
(1178, 6813, 5030, 6855, 6564)
(1182, 5598, 5478, 6751, -1)
(1207, 5194, 5235, 5355, -1)
(1209, 5381, -1, 6815, 5438)
(1229, 6645, 5570, -1, 5381)
(1268, 6272, 6504, 6004, 5511)
(1269, 6369, 6435, -1, 6751)
(1271, 5859, -1, 5587, 5048)
(1272, 5328, -1, 6597, 6320)
(1275, 5609, 6857, -1, 5112)
(1301, -1, 5125, 5478, 6498)
(1306, 6813, 6659, 6264, 6076)
(1344, 6721, 5911, -1, 6637)
(1355, 5341, 5030, 6082, 6398)
(1364, 5015, 6017, -1, 6507)
(1386, 6264, 5914, -1, 5471)
(1387, 6946, -1, 5070, 6927)
(1394, 5298, -1, 5824, 6889)
(1420, 5311, 5886, 6038, -1)
(1476, 6767, 6887, 5471, -1)
(1486, 6246, 6645, 6539, 5292)
(1489, 6609, 5956, 6916, -1)
(1491, 6819, 5874, -1, 5064)
(1496, 5925, 6301, 6609, -1)
(1509, 5633, 5149, -1, 5640)
(1523, -1, 5915, 5231, 6242)
(1537, 5911, 6240, 5616, -1)
(1567, 5814, 5323, -1, 6364)
(1585, -1, 6599, 6341, 6555)
(1633, 5444, 6685, -1, 5038)
(1635, 6253, -1, 5302, 5561)
(1636, 6369, 5125, -1, 5007)
(1648, 5874, 6330, 6448, -1)
(1677, 5511, 6966, 6448, 6112)
(1692, 6109, -1, 6287, 6457)
(1708, 5907, 6599, -1, 6871)
(1740, 5988, 6042, 6173, 6900)
(1767, -1, 5595, 6125, 5937)
(1773, -1, 5328, 6927, 5194)
(1800, -1, 6577, 5015, 5524)
(1804, -1, 5269, 6952, 6637)
(1813, 6061, 6777, 5193, 6057)
(1819, 5814, 6000, -1, 6521)
(1821, 5528, 6364, -1, 6522)
(1825, 5915, -1, 6946, 6320)
(1827, 6258, 6087, -1, 6627)
(1839, 5389, 5007, -1, 6836)
(1842, -1, -1, 6555, 6612)
(1883, 6855, 6212, -1, 5902)
(1912, 6378, 5292, -1, 6173)
(1920, 5805, -1, 6612, 5521)
(1922, 5937, 5235, 5070, -1)
(1947, -1, 5805, 6381, 5112)
(1955, 5658, -1, 6174, 5686)
(1956, -1, 5844, 5193, 5046)
(1970, 6063, 5638, 6442, -1)
(1977, 5501, 6074, 5846, 5902)
(1981, 6301, 5327, 6966, 5563)
(1984, 6767, -1, -1, 6371)
(1987, 6361, 6140, 5185, -1)
(1992, 6817, 5640, 5304, 6360)
