#(id,from,to,speed,planTime)
(10000, 27, 2, 6, 1)
(10001, 18, 36, 6, 2)
(10002, 8, 29, 4, 2)
(10003, 11, 34, 6, 3)
(10004, 26, 5, 2, 1)
(10005, 22, 2, 2, 2)
(10006, 9, 29, 4, 2)
(10007, 6, 31, 4, 2)
(10008, 8, 33, 4, 2)
(10009, 35, 6, 6, 2)
(10010, 2, 25, 2, 2)
(10011, 32, 2, 4, 2)
(10012, 14, 33, 6, 1)
(10013, 22, 2, 4, 1)
(10014, 4, 28, 6, 1)
(10015, 31, 10, 2, 2)
(10016, 36, 12, 6, 3)
(10017, 27, 2, 4, 3)
(10018, 28, 8, 2, 2)
(10019, 8, 28, 6, 2)
(10020, 23, 2, 6, 2)
(10021, 23, 1, 4, 1)
(10022, 5, 34, 6, 2)
(10023, 22, 3, 6, 2)
(10024, 30, 11, 6, 1)
(10025, 23, 3, 4, 2)
(10026, 12, 32, 6, 1)
(10027, 33, 10, 2, 2)
(10028, 22, 2, 6, 1)
(10029, 17, 36, 4, 3)
(10030, 22, 2, 6, 2)
(10031, 9, 27, 4, 2)
(10032, 25, 4, 2, 3)
(10033, 18, 36, 6, 1)
(10034, 15, 35, 4, 3)
(10035, 4, 24, 4, 3)
(10036, 7, 28, 6, 2)
(10037, 5, 33, 6, 2)
(10038, 2, 35, 4, 1)
(10039, 15, 33, 4, 3)
(10040, 21, 2, 2, 3)
(10041, 16, 35, 6, 2)
(10042, 8, 36, 6, 2)
(10043, 12, 36, 2, 2)
(10044, 31, 12, 6, 3)
(10045, 31, 5, 6, 3)
(10046, 28, 2, 2, 3)
(10047, 27, 4, 4, 3)
(10048, 28, 5, 6, 1)
(10049, 5, 25, 2, 3)
(10050, 34, 6, 6, 1)
(10051, 1, 25, 2, 1)
(10052, 15, 35, 4, 3)
(10053, 11, 30, 2, 2)
(10054, 5, 23, 2, 2)
(10055, 1, 21, 2, 2)
(10056, 27, 7, 6, 3)
(10057, 13, 32, 2, 2)
(10058, 30, 4, 6, 3)
(10059, 14, 34, 4, 2)
(10060, 1, 30, 6, 1)
(10061, 23, 5, 4, 3)
(10062, 30, 4, 6, 3)
(10063, 13, 32, 2, 3)
(10064, 9, 32, 2, 2)
(10065, 9, 31, 4, 1)
(10066, 31, 12, 2, 1)
(10067, 5, 28, 6, 1)
(10068, 18, 36, 6, 3)
(10069, 34, 1, 6, 3)
(10070, 29, 3, 6, 3)
(10071, 17, 35, 2, 3)
(10072, 14, 35, 2, 3)
(10073, 11, 33, 4, 1)
(10074, 1, 26, 6, 2)
(10075, 5, 25, 6, 2)
(10076, 30, 3, 6, 3)
(10077, 15, 36, 4, 1)
(10078, 10, 34, 6, 1)
(10079, 13, 36, 2, 1)
(10080, 9, 36, 6, 3)
(10081, 30, 2, 6, 2)
(10082, 20, 2, 4, 3)
(10083, 18, 36, 6, 2)
(10084, 33, 11, 2, 2)
(10085, 1, 26, 4, 3)
(10086, 20, 1, 6, 1)
(10087, 25, 4, 2, 2)
(10088, 6, 25, 2, 1)
(10089, 17, 36, 6, 2)
(10090, 18, 36, 2, 1)
(10091, 21, 3, 2, 3)
(10092, 11, 34, 2, 2)
(10093, 29, 2, 2, 2)
(10094, 4, 31, 4, 1)
(10095, 7, 31, 6, 3)
(10096, 28, 2, 2, 1)
(10097, 34, 7, 6, 1)
(10098, 24, 1, 4, 2)
(10099, 16, 34, 4, 3)
(10100, 36, 5, 6, 1)
(10101, 34, 5, 4, 2)
(10102, 35, 17, 6, 2)
(10103, 19, 1, 2, 2)
(10104, 31, 6, 6, 1)
(10105, 10, 33, 6, 1)
(10106, 24, 1, 4, 3)
(10107, 15, 36, 4, 3)
(10108, 33, 12, 6, 1)
(10109, 33, 9, 6, 2)
(10110, 23, 4, 2, 1)
(10111, 12, 33, 2, 2)
(10112, 5, 29, 6, 1)
(10113, 4, 26, 6, 2)
(10114, 24, 5, 2, 1)
(10115, 22, 1, 6, 1)
(10116, 7, 28, 6, 1)
(10117, 17, 35, 6, 3)
(10118, 11, 35, 6, 3)
(10119, 30, 4, 4, 2)
(10120, 14, 32, 2, 1)
(10121, 21, 3, 6, 2)
(10122, 11, 33, 4, 3)
