#(id,from,to,speed,planTime)
(10000, 28, 3, 4, 1)
(10001, 16, 34, 2, 2)
(10002, 31, 9, 2, 1)
(10003, 22, 4, 2, 2)
(10004, 27, 7, 6, 2)
(10005, 20, 1, 2, 1)
(10006, 2, 36, 6, 3)
(10007, 5, 28, 6, 2)
(10008, 20, 1, 2, 2)
(10009, 1, 24, 4, 1)
(10010, 7, 32, 4, 2)
(10011, 11, 32, 6, 1)
(10012, 33, 10, 2, 2)
(10013, 35, 5, 6, 3)
(10014, 26, 6, 6, 1)
(10015, 4, 22, 6, 3)
(10016, 31, 1, 2, 1)
(10017, 6, 29, 6, 3)
(10018, 22, 4, 6, 2)
(10019, 20, 2, 4, 1)
(10020, 6, 35, 2, 1)
(10021, 1, 36, 2, 3)
(10022, 30, 8, 2, 1)
(10023, 13, 33, 2, 2)
(10024, 17, 35, 6, 2)
(10025, 17, 36, 4, 1)
(10026, 13, 35, 6, 3)
(10027, 10, 33, 6, 2)
(10028, 29, 4, 2, 3)
(10029, 4, 30, 4, 1)
(10030, 14, 33, 2, 1)
(10031, 13, 34, 2, 2)
(10032, 21, 1, 4, 1)
(10033, 16, 35, 6, 3)
(10034, 3, 35, 4, 3)
(10035, 2, 24, 4, 3)
(10036, 17, 36, 4, 1)
(10037, 24, 6, 2, 3)
(10038, 16, 36, 6, 3)
(10039, 13, 33, 4, 1)
(10040, 17, 36, 4, 3)
(10041, 31, 13, 4, 1)
(10042, 34, 16, 6, 3)
(10043, 23, 5, 2, 2)
(10044, 28, 10, 6, 1)
(10045, 23, 4, 4, 1)
(10046, 3, 32, 4, 1)
(10047, 35, 14, 4, 2)
(10048, 17, 36, 6, 2)
(10049, 28, 7, 4, 1)
(10050, 1, 26, 2, 1)
(10051, 19, 1, 4, 1)
(10052, 22, 1, 2, 2)
(10053, 19, 1, 2, 1)
(10054, 25, 6, 4, 3)
(10055, 17, 35, 4, 2)
(10056, 36, 18, 4, 2)
(10057, 23, 5, 2, 3)
(10058, 18, 36, 4, 1)
(10059, 27, 5, 4, 3)
(10060, 30, 10, 6, 3)
(10061, 7, 30, 4, 3)
(10062, 22, 4, 2, 3)
(10063, 2, 36, 6, 1)
(10064, 32, 7, 2, 3)
(10065, 5, 36, 2, 3)
(10066, 3, 33, 4, 3)
(10067, 27, 9, 6, 3)
(10068, 24, 4, 4, 2)
(10069, 19, 1, 6, 1)
(10070, 22, 1, 2, 3)
(10071, 6, 31, 4, 1)
(10072, 34, 9, 2, 1)
(10073, 2, 20, 4, 2)
(10074, 23, 5, 6, 3)
(10075, 4, 32, 4, 2)
(10076, 10, 28, 2, 3)
(10077, 8, 33, 2, 2)
(10078, 33, 3, 4, 2)
(10079, 7, 36, 6, 3)
(10080, 30, 5, 4, 2)
(10081, 3, 23, 2, 3)
(10082, 27, 3, 2, 3)
(10083, 11, 36, 6, 3)
(10084, 10, 28, 4, 2)
(10085, 6, 33, 6, 3)
(10086, 35, 14, 4, 1)
(10087, 11, 35, 6, 3)
(10088, 18, 36, 4, 3)
(10089, 23, 5, 6, 1)
(10090, 2, 23, 4, 2)
(10091, 34, 3, 2, 2)
(10092, 32, 10, 6, 1)
(10093, 30, 4, 2, 2)
(10094, 9, 35, 2, 2)
(10095, 31, 9, 2, 2)
(10096, 34, 11, 6, 3)
(10097, 35, 11, 2, 1)
(10098, 7, 26, 4, 1)
(10099, 18, 36, 2, 2)
(10100, 1, 22, 2, 2)
(10101, 19, 1, 4, 1)
(10102, 25, 4, 2, 1)
(10103, 34, 3, 4, 1)
(10104, 3, 32, 4, 2)
(10105, 19, 1, 6, 1)
(10106, 23, 3, 4, 2)
(10107, 14, 32, 6, 2)
(10108, 10, 29, 4, 2)
(10109, 26, 8, 4, 1)
(10110, 17, 36, 4, 1)
(10111, 10, 31, 6, 2)
(10112, 2, 22, 4, 1)
(10113, 15, 36, 4, 3)
(10114, 29, 3, 6, 2)
(10115, 17, 35, 4, 2)
(10116, 25, 2, 2, 3)
(10117, 17, 36, 6, 2)
(10118, 24, 6, 4, 2)
(10119, 23, 5, 2, 1)
(10120, 28, 10, 4, 1)
(10121, 17, 36, 2, 3)
(10122, 6, 36, 4, 1)
(10123, 28, 1, 2, 1)
(10124, 10, 35, 2, 1)
(10125, 20, 2, 2, 3)
(10126, 32, 4, 6, 2)
(10127, 30, 11, 2, 3)
(10128, 7, 25, 6, 3)
(10129, 12, 34, 4, 3)
(10130, 8, 35, 4, 3)
(10131, 2, 36, 6, 1)
(10132, 19, 1, 2, 3)
(10133, 35, 3, 6, 2)
(10134, 26, 7, 2, 1)
(10135, 2, 34, 4, 1)
(10136, 9, 29, 4, 1)
(10137, 6, 28, 2, 1)
(10138, 30, 11, 2, 2)
(10139, 36, 10, 2, 2)
(10140, 34, 8, 2, 3)
(10141, 29, 2, 2, 3)
(10142, 31, 12, 6, 1)
(10143, 29, 8, 4, 2)
(10144, 23, 4, 4, 3)
(10145, 8, 32, 4, 1)
(10146, 14, 36, 6, 3)
(10147, 29, 4, 6, 2)
(10148, 6, 31, 2, 2)
(10149, 3, 28, 4, 3)
(10150, 24, 5, 6, 2)
(10151, 22, 3, 2, 3)
(10152, 20, 2, 6, 3)
(10153, 19, 1, 6, 1)
(10154, 5, 26, 2, 2)
(10155, 32, 14, 4, 2)
(10156, 6, 25, 2, 3)
(10157, 6, 31, 4, 3)
(10158, 32, 4, 2, 1)
(10159, 23, 5, 2, 3)
(10160, 29, 4, 6, 3)
(10161, 10, 29, 4, 1)
(10162, 30, 12, 6, 3)
(10163, 21, 2, 2, 2)
(10164, 24, 3, 6, 3)
(10165, 13, 32, 4, 3)
(10166, 30, 7, 2, 1)
(10167, 27, 7, 4, 1)
(10168, 35, 10, 4, 3)
(10169, 10, 36, 4, 1)
(10170, 5, 28, 4, 2)
(10171, 15, 33, 4, 3)
(10172, 34, 3, 6, 1)
(10173, 7, 35, 2, 2)
(10174, 2, 26, 6, 1)
(10175, 36, 4, 6, 1)
(10176, 12, 33, 4, 2)
(10177, 30, 12, 4, 2)
(10178, 12, 35, 6, 1)
(10179, 11, 29, 2, 2)
(10180, 20, 1, 4, 2)
(10181, 17, 35, 4, 2)
(10182, 10, 31, 2, 1)
(10183, 28, 9, 4, 2)
(10184, 32, 14, 2, 3)
(10185, 9, 31, 6, 3)
(10186, 6, 27, 6, 1)
(10187, 6, 28, 4, 2)
(10188, 13, 35, 2, 2)
(10189, 4, 23, 4, 1)
(10190, 20, 2, 4, 2)
(10191, 27, 5, 6, 1)
(10192, 11, 36, 6, 1)
(10193, 16, 34, 4, 3)
(10194, 20, 1, 4, 2)
(10195, 27, 1, 2, 1)
(10196, 28, 2, 2, 3)
(10197, 31, 1, 6, 2)
(10198, 24, 1, 6, 3)
(10199, 21, 1, 6, 2)
(10200, 1, 21, 4, 1)
(10201, 20, 1, 2, 2)
(10202, 27, 8, 2, 2)
(10203, 4, 29, 4, 2)
(10204, 24, 4, 6, 2)
(10205, 28, 7, 6, 1)
(10206, 22, 4, 6, 1)
(10207, 21, 1, 6, 2)
(10208, 15, 36, 2, 2)
(10209, 34, 16, 2, 1)
(10210, 32, 2, 2, 2)
(10211, 31, 3, 4, 2)
(10212, 30, 7, 4, 3)
(10213, 24, 5, 6, 2)
(10214, 34, 15, 4, 2)
(10215, 7, 32, 2, 2)
(10216, 6, 33, 6, 3)
(10217, 20, 1, 6, 2)
(10218, 12, 35, 6, 1)
(10219, 8, 26, 2, 3)
(10220, 8, 27, 4, 3)
(10221, 1, 25, 2, 3)
(10222, 21, 1, 6, 1)
(10223, 16, 35, 6, 1)
(10224, 17, 36, 4, 2)
(10225, 12, 35, 2, 2)
(10226, 24, 5, 6, 2)
(10227, 7, 33, 2, 3)
(10228, 9, 33, 4, 2)
(10229, 28, 8, 6, 2)
(10230, 19, 1, 6, 3)
(10231, 26, 5, 2, 2)
(10232, 36, 11, 2, 2)
(10233, 23, 2, 2, 3)
(10234, 17, 36, 6, 1)
(10235, 16, 36, 4, 2)
(10236, 32, 14, 2, 2)
(10237, 18, 36, 4, 3)
(10238, 7, 31, 2, 3)
(10239, 15, 36, 6, 1)
(10240, 17, 36, 4, 2)
(10241, 28, 5, 4, 3)
(10242, 8, 35, 2, 1)
(10243, 29, 9, 2, 1)
(10244, 27, 5, 6, 1)
(10245, 34, 9, 2, 2)
(10246, 13, 32, 4, 2)
(10247, 1, 31, 6, 3)
(10248, 2, 20, 4, 1)
(10249, 11, 34, 6, 3)
(10250, 29, 8, 4, 1)
(10251, 19, 1, 2, 3)
(10252, 16, 34, 2, 3)
(10253, 5, 28, 4, 2)
(10254, 4, 23, 6, 2)
(10255, 22, 4, 4, 1)
(10256, 25, 4, 2, 2)
(10257, 13, 36, 2, 1)
(10258, 24, 3, 4, 1)
(10259, 4, 23, 4, 1)
(10260, 31, 8, 4, 2)
(10261, 32, 13, 6, 2)
(10262, 10, 36, 6, 3)
(10263, 21, 1, 4, 2)
(10264, 33, 11, 2, 1)
(10265, 9, 28, 2, 1)
(10266, 12, 35, 4, 2)
(10267, 3, 34, 2, 3)
(10268, 21, 3, 4, 1)
(10269, 30, 6, 2, 2)
(10270, 29, 7, 6, 1)
(10271, 21, 2, 2, 3)
(10272, 16, 34, 2, 2)
(10273, 9, 27, 6, 2)
(10274, 11, 31, 2, 1)
(10275, 27, 3, 4, 1)
(10276, 9, 27, 6, 1)
(10277, 23, 1, 2, 1)
(10278, 35, 12, 4, 3)
(10279, 33, 12, 6, 1)
(10280, 27, 9, 2, 3)
(10281, 16, 34, 2, 1)
(10282, 20, 2, 6, 2)
(10283, 5, 27, 6, 2)
(10284, 3, 34, 6, 1)
(10285, 25, 7, 4, 1)
(10286, 6, 31, 6, 1)
(10287, 8, 36, 2, 2)
(10288, 2, 33, 6, 2)
(10289, 13, 32, 2, 1)
(10290, 5, 29, 6, 3)
(10291, 26, 3, 6, 1)
(10292, 31, 2, 6, 1)
(10293, 1, 35, 4, 2)
(10294, 25, 3, 6, 3)
(10295, 21, 1, 4, 3)
(10296, 6, 28, 4, 2)
(10297, 36, 16, 4, 1)
(10298, 3, 24, 2, 2)
(10299, 19, 1, 2, 2)
(10300, 29, 9, 2, 1)
(10301, 6, 30, 2, 3)
(10302, 5, 25, 6, 3)
