#(id,from,to,speed,planTime, priority, preset)
(61838, 1716, 800, 4, 72, 0, 0)
(68468, 1182, 1396, 8, 20, 0, 0)
(80630, 1816, 1028, 8, 1, 0, 0)
(57017, 1182, 615, 4, 83, 1, 0)
(87002, 1350, 1591, 14, 50, 0, 0)
(21932, 752, 1436, 12, 51, 0, 0)
(49125, 62, 52, 10, 48, 0, 0)
(46971, 341, 456, 8, 89, 0, 0)
(81841, 456, 1910, 16, 33, 0, 0)
(63484, 364, 1273, 16, 56, 0, 0)
(103954, 1576, 197, 12, 90, 0, 0)
(46419, 108, 957, 14, 35, 0, 0)
(105771, 1265, 461, 4, 48, 1, 0)
(102740, 540, 566, 12, 58, 0, 0)
(19006, 631, 540, 16, 69, 0, 0)
(84032, 32, 1019, 14, 49, 0, 0)
(68382, 461, 1670, 8, 64, 0, 0)
(16636, 1366, 1605, 4, 2, 0, 0)
(35416, 1436, 456, 10, 33, 0, 0)
(34173, 157, 283, 16, 36, 0, 0)
(86236, 1591, 1910, 16, 71, 0, 0)
(99769, 1910, 736, 14, 21, 1, 0)
(13282, 1476, 566, 14, 63, 0, 0)
(18824, 482, 1436, 14, 1, 0, 0)
(102768, 1534, 1348, 14, 49, 0, 0)
(10654, 1921, 482, 16, 54, 1, 0)
(31866, 157, 1099, 10, 96, 0, 0)
(92078, 824, 456, 4, 6, 0, 0)
(50180, 482, 810, 14, 96, 0, 0)
(63163, 473, 1750, 10, 5, 0, 0)
(12418, 283, 850, 4, 48, 0, 0)
(21281, 1190, 1591, 16, 10, 0, 0)
(63104, 830, 1099, 12, 9, 0, 0)
(18279, 810, 52, 6, 34, 1, 0)
(11867, 1412, 1921, 12, 44, 0, 0)
(32462, 1605, 1921, 16, 71, 0, 0)
(66481, 1849, 197, 10, 7, 0, 0)
(68516, 1816, 955, 10, 96, 0, 0)
(44961, 1567, 957, 6, 47, 0, 0)
(69038, 1877, 112, 16, 30, 1, 0)
(58183, 1375, 800, 8, 88, 0, 0)
(107876, 157, 645, 14, 41, 0, 0)
(89921, 758, 256, 10, 32, 0, 0)
(74946, 317, 631, 10, 82, 1, 0)
(16061, 1593, 645, 10, 41, 1, 0)
(94103, 540, 1055, 12, 5, 0, 0)
(84202, 1945, 1439, 4, 2, 0, 0)
(24461, 47, 456, 12, 38, 0, 0)
(43810, 174, 899, 14, 60, 1, 0)
(18590, 1591, 1716, 12, 71, 0, 0)
(72347, 470, 824, 8, 83, 0, 0)
(108038, 752, 1265, 6, 37, 0, 0)
(85794, 1705, 1396, 16, 28, 0, 0)
(42783, 291, 684, 16, 91, 0, 0)
(12153, 1335, 850, 8, 11, 0, 0)
(66238, 661, 620, 8, 11, 0, 0)
(50394, 110, 1386, 6, 85, 1, 0)
(108874, 1877, 32, 6, 41, 0, 0)
(96397, 1816, 955, 14, 21, 1, 0)
(29715, 800, 1910, 4, 60, 0, 0)
(99751, 1967, 1576, 12, 61, 0, 0)
(88824, 1910, 1680, 4, 84, 0, 0)
(46620, 683, 180, 16, 27, 0, 0)
(21724, 1407, 1352, 8, 39, 0, 0)
(58132, 1099, 47, 6, 25, 0, 0)
(47003, 707, 41, 6, 55, 1, 0)
(69391, 609, 1576, 16, 8, 0, 0)
(109336, 831, 1593, 14, 25, 0, 0)
(92841, 1649, 5, 16, 83, 0, 0)
(109974, 456, 1436, 6, 54, 0, 0)
(69474, 108, 1436, 8, 56, 0, 0)
(11882, 1366, 1816, 10, 75, 0, 0)
(77573, 1023, 933, 6, 35, 0, 0)
(94392, 1680, 217, 4, 71, 1, 0)
(24250, 1909, 1576, 8, 89, 1, 0)
(101530, 111, 1890, 4, 27, 0, 0)
(84323, 1265, 1591, 12, 3, 0, 0)
(31282, 1750, 1877, 8, 56, 0, 0)
(50421, 1910, 456, 4, 5, 0, 0)
(60630, 153, 1943, 10, 29, 0, 0)
(66381, 130, 933, 16, 75, 0, 0)
(83177, 1716, 1396, 10, 69, 0, 0)
(39002, 1335, 850, 8, 44, 0, 0)
(54488, 1649, 1576, 6, 66, 0, 0)
(53368, 470, 256, 14, 2, 0, 0)
(33025, 810, 754, 6, 72, 1, 0)
(36976, 84, 1352, 16, 9, 0, 0)
(100548, 943, 824, 8, 92, 1, 0)
(87408, 1476, 1396, 12, 37, 0, 0)
(37506, 32, 456, 8, 87, 0, 0)
(24482, 148, 1742, 4, 82, 0, 0)
(64147, 41, 661, 10, 65, 0, 0)
(78512, 473, 153, 16, 23, 0, 0)
(15467, 256, 1680, 12, 57, 0, 1)
(28062, 461, 217, 14, 81, 1, 0)
(91752, 1856, 131, 4, 57, 0, 0)
(33461, 1967, 463, 16, 93, 0, 0)
(107595, 1531, 1591, 6, 92, 1, 1)
(78341, 111, 1352, 6, 59, 0, 0)
(10259, 1716, 41, 6, 39, 1, 0)
(89736, 1019, 263, 4, 98, 0, 0)
(50977, 32, 131, 6, 98, 0, 0)
(87776, 697, 322, 12, 73, 0, 0)
(31332, 153, 482, 8, 48, 0, 0)
(66981, 283, 926, 16, 63, 0, 0)
(33511, 1348, 612, 6, 49, 0, 0)
(89811, 463, 615, 4, 38, 1, 0)
(64694, 612, 850, 8, 62, 0, 0)
(19355, 180, 800, 12, 28, 0, 0)
(37294, 93, 1350, 16, 25, 0, 0)
(87050, 1366, 731, 6, 73, 0, 0)
(32872, 810, 1591, 8, 28, 0, 0)
(61731, 1759, 283, 14, 70, 1, 0)
(90913, 757, 957, 14, 51, 0, 0)
(62237, 1838, 957, 16, 81, 0, 0)
(14411, 456, 493, 14, 26, 0, 0)
(16197, 1350, 1943, 8, 44, 0, 0)
(31207, 566, 684, 6, 38, 0, 0)
(34989, 1877, 323, 16, 18, 0, 0)
(78093, 1028, 926, 10, 86, 0, 0)
(11206, 369, 456, 12, 61, 1, 0)
(97776, 831, 205, 14, 71, 0, 0)
(60467, 1436, 108, 14, 50, 0, 0)
(90569, 1028, 456, 14, 61, 0, 0)
(35349, 5, 1838, 10, 11, 0, 1)
(18147, 1023, 1396, 6, 54, 0, 0)
(86562, 33, 1396, 6, 10, 0, 0)
(39382, 256, 1680, 12, 88, 1, 0)
(46691, 256, 93, 4, 25, 0, 0)
(107944, 317, 631, 8, 27, 0, 0)
(89470, 1362, 131, 16, 31, 0, 0)
(20180, 1909, 317, 14, 56, 0, 0)
(66845, 1967, 33, 6, 43, 0, 0)
(104925, 256, 1680, 4, 25, 0, 1)
(58996, 1439, 263, 16, 98, 0, 0)
(25422, 661, 1759, 12, 64, 0, 0)
(103513, 899, 174, 12, 68, 0, 0)
(36259, 702, 731, 16, 52, 0, 0)
(53391, 1890, 1692, 4, 63, 0, 0)
(81871, 1028, 148, 8, 58, 0, 0)
(49966, 456, 493, 16, 99, 1, 0)
(47744, 1055, 456, 14, 32, 0, 0)
(34577, 1742, 800, 16, 38, 0, 0)
(39672, 108, 1910, 14, 5, 0, 0)
(53105, 1375, 1273, 14, 77, 0, 0)
(93019, 1366, 1943, 4, 61, 1, 0)
(18765, 620, 463, 16, 78, 0, 0)
(99133, 1352, 1856, 16, 54, 0, 0)
(27967, 609, 850, 14, 15, 0, 0)
(90541, 1838, 291, 4, 38, 0, 0)
(35267, 702, 1273, 16, 27, 0, 0)
(105727, 148, 47, 4, 2, 0, 0)
(55094, 52, 955, 10, 35, 0, 0)
(104759, 702, 1838, 10, 4, 0, 0)
(90031, 263, 850, 6, 34, 0, 0)
(45103, 1302, 850, 10, 4, 0, 0)
(44767, 1055, 1623, 4, 55, 0, 0)
(35643, 661, 1909, 8, 29, 0, 0)
(63079, 1055, 1605, 14, 35, 0, 0)
(90323, 899, 1680, 16, 69, 0, 0)
(23119, 1909, 540, 16, 59, 1, 0)
(46655, 323, 1225, 10, 32, 1, 0)
(65841, 645, 1055, 12, 64, 0, 0)
(102651, 1679, 1742, 4, 21, 0, 0)
(58176, 112, 463, 6, 44, 0, 0)
(84525, 130, 263, 6, 85, 0, 0)
(29309, 1375, 1856, 6, 86, 1, 0)
(44522, 899, 482, 4, 67, 1, 0)
(65638, 1567, 957, 10, 43, 1, 0)
(58986, 1023, 112, 4, 58, 0, 0)
(76578, 899, 482, 14, 26, 0, 0)
(95958, 52, 830, 16, 3, 0, 0)
(46084, 957, 108, 16, 24, 0, 0)
(81229, 256, 1273, 12, 50, 1, 0)
(106393, 180, 943, 8, 26, 0, 0)
