#(id,roadId,roadId,roadId,roadId)
(5, 5457, -1, -1, 6528)
(32, 6895, 6916, 6332, 5597)
(33, 6134, 5706, 5998, 6551)
(41, 5028, 5816, 5356, -1)
(47, 6528, -1, 6991, 6625)
(52, 6271, 5011, 5125, 6428)
(62, 6809, 5749, 6695, 6442)
(84, 5086, 6069, 5002, 5211)
(93, 5028, -1, -1, 6849)
(108, 6499, 5683, 5634, 6785)
(110, 6894, 5553, 6005, 6974)
(111, 5928, 6332, 6493, 5542)
(112, 5382, 5617, 5873, -1)
(130, 6465, 6677, 6585, 6762)
(131, 6549, 5243, -1, -1)
(148, 6980, 5837, 5664, 5384)
(153, 5470, 6675, -1, -1)
(157, 6988, 5090, 6736, 6445)
(174, 6751, 6199, 6271, -1)
(180, 5876, 5260, 6220, 6369)
(197, -1, 5443, 5211, -1)
(205, 5235, 6003, 6644, 6029)
(217, -1, 5978, 5030, 5324)
(256, 6422, 5630, 6831, 5637)
(263, -1, -1, 5768, 5274)
(283, 5358, 6971, -1, 6662)
(291, 6692, 6371, -1, -1)
(317, -1, 6091, 6128, -1)
(322, 6498, 6827, 5262, 6041)
(323, 6872, 6879, 5249, 5443)
(341, 6453, 5462, -1, -1)
(364, 6695, 6624, -1, 6790)
(369, 6548, 5801, 6624, 5975)
(456, -1, -1, 6428, 6275)
(461, 6860, 6199, 5478, 6076)
(462, 5597, 6621, -1, 5462)
(463, 5021, 6577, 5090, 5379)
(470, 6830, 6940, 6189, 6762)
(473, 5210, 6055, -1, 6747)
(482, 5994, 5347, 5848, 6060)
(493, 5691, 5101, -1, 6328)
(540, -1, 6798, 5421, -1)
(566, 6041, 5374, 5086, 5249)
(609, 6506, 6916, -1, -1)
(612, 6607, 6192, 6089, 6407)
(615, 5179, 5274, 5739, 6069)
(620, 6682, -1, 5898, 6827)
(631, 6682, 6280, 6698, -1)
(645, 6826, 6532, 5997, 5431)
(661, 5703, 5042, 5900, 6091)
(683, 6004, -1, -1, 6863)
(684, -1, 6431, 6569, -1)
(697, 5832, 5685, 5042, 6351)
(702, 5674, 5978, 6371, 6548)
(707, 6966, 6809, 5993, 5685)
(717, 5347, 6350, 6863, 6714)
(731, 6897, 6749, 5848, 6846)
(736, 6239, 6585, 6736, 5645)
(752, 6785, 6465, 6483, 5994)
(754, 5679, 5146, 6846, 6714)
(757, 6980, 5679, -1, -1)
(758, 6189, 6214, 6350, 6483)
(800, 6751, -1, -1, 5023)
(810, 6771, 5814, 6817, 5674)
(824, 6422, 5470, 6981, 5562)
(830, 5044, 6631, 6625, 6894)
(831, 5866, 6089, 6006, 5542)
(850, 5188, 6629, 5687, 6798)
(859, 5466, 5739, 5726, 5866)
(899, 6734, 6369, 5030, 6817)
(926, 6499, 6060, 6613, 5150)
(933, 5768, 5873, 6407, 5726)
(943, 5664, 5751, 5210, 5072)
(955, 5260, 6249, 5457, 6631)
(957, 5562, 5929, 6734, 5850)
(1019, 6555, -1, 5235, 6629)
(1023, 6551, 6367, 6830, 6239)
(1028, -1, 6249, 6356, -1)
(1055, 6498, 6879, 6005, 6280)
(1099, 6826, 6723, 6268, 6192)
(1139, -1, -1, 5266, 6432)
(1182, 6128, 6648, 5836, 6917)
(1186, 6134, 5645, 6577, 6644)
(1190, 5993, 6183, 6648, 5900)
(1225, 6008, 5431, 6959, 5751)
(1240, 6884, -1, 6055, 6959)
(1265, 5691, 6831, 5986, 5832)
(1273, -1, 5356, 5478, 5023)
(1302, 5553, 6991, -1, 6698)
(1335, 6895, 6453, 5801, 6692)
(1348, 6445, 6677, 5634, -1)
(1350, 6376, 5630, 5850, 5814)
(1352, 6462, 5188, -1, -1)
(1362, 5928, 6335, 5202, 6621)
(1366, 5044, 6803, 5324, 6220)
(1375, 6183, 6442, 6217, 5401)
(1386, -1, 5101, 6351, 6556)
(1396, -1, 5179, 5374, 5511)
(1407, 5997, 6662, -1, 6884)
(1412, 6353, 6778, 5146, 5384)
(1436, 6376, 6346, 6966, 5986)
(1439, 5379, 5471, 6628, 5018)
(1476, 5836, 5401, 6885, 5998)
(1531, 6771, 5975, 5749, 6346)
(1534, 6971, 5382, -1, -1)
(1567, 6890, 6432, 6004, 6214)
(1576, 5018, 6549, 5421, 6023)
(1591, 5150, 6076, 5816, 5920)
(1593, -1, -1, 5471, 6988)
(1605, -1, 6569, 5964, 6747)
(1623, 6023, 5687, 6029, 5021)
(1649, -1, 6723, 6008, 5837)
(1670, 6217, 6790, -1, 6200)
(1679, 5062, -1, 6890, 6940)
(1680, 5606, 6353, 5072, 5964)
(1692, 5617, 5358, 6532, 6607)
(1705, 5062, 6367, 6885, 6200)
(1716, 6556, 5703, -1, -1)
(1742, -1, 5483, 6981, -1)
(1750, 6803, 6974, 6872, -1)
(1759, -1, 5683, 5920, 6849)
(1816, 5606, 6431, 6275, 6511)
(1838, 5125, 6897, 6778, 6511)
(1849, 6917, 5706, 6003, -1)
(1856, -1, 6716, 5898, -1)
(1877, -1, -1, 6555, 6462)
(1890, -1, 5243, 6628, -1)
(1909, -1, 5511, 5262, 6716)
(1910, 5637, 6328, -1, 6675)
(1921, 5483, 6356, 5876, 5929)
(1943, 6613, 6749, 5011, 6860)
(1945, 6268, -1, 6335, 6006)
(1967, 6506, 5002, 5466, 6493)
(1985, -1, 5266, 5202, -1)
