#(id,roadId,roadId,roadId,roadId)
(15, -1, 5570, 5489, 5229)
(16, 6083, 6236, -1, 5146)
(35, 5836, 5709, 6556, 5440)
(70, 6856, 5131, 6050, 6513)
(74, 5619, 5834, -1, 6046)
(102, 5912, 5339, 5424, 6000)
(117, 5455, 5271, 5909, 6939)
(188, 6556, 6555, 5351, 5920)
(200, 5239, 5111, 6613, 6939)
(212, 6272, 5000, 6666, 5785)
(243, 5493, 6884, 6810, 5225)
(262, 6681, 6148, 6917, 5566)
(274, -1, 6029, 5664, 5146)
(296, -1, 5090, 6922, 6118)
(329, -1, 5983, 6951, 5105)
(330, 6875, 6806, 6610, 6986)
(331, 6981, 5026, 6056, -1)
(358, 5405, 5268, 6692, 5455)
(362, 6457, 6513, 6046, -1)
(404, 6403, 6007, 5912, 5713)
(427, 6079, 5664, 5317, 6165)
(495, 5558, 5983, -1, 6815)
(534, 6716, 5975, 5111, 5502)
(540, 6527, -1, -1, 5562)
(557, -1, 5203, 5760, 6815)
(566, 6547, 5026, 5424, 5767)
(573, 6686, 5909, 6083, 6079)
(575, 6748, 5760, 5471, 5975)
(599, 6056, 5960, 6457, -1)
(604, 6050, 6152, 5438, 5619)
(617, 5970, 5570, -1, -1)
(663, 5669, 6523, 5317, 5821)
(687, 6527, 5268, 6927, -1)
(768, 6664, 6692, 5562, -1)
(770, 5465, 6523, 5468, 6058)
(798, 5489, 6461, 5438, 6043)
(808, 5649, 6570, 5669, 5305)
(809, -1, 5223, 5713, 5839)
(838, 6511, 5995, 5397, 5880)
(898, 5339, 5579, 6555, 6311)
(921, 5468, 6570, 5995, 6917)
(930, 5150, 5107, 6705, 5440)
(933, 6579, 5700, 5340, -1)
(982, 6209, 5397, 5649, 5700)
(999, 6776, 6863, 5579, 6007)
(1084, 6272, 6806, 6058, 6148)
(1088, 6547, 6884, 6856, 5960)
(1142, 6810, 5767, 6311, 5709)
(1168, 6664, -1, 6236, 5271)
(1212, 5768, 6055, 5481, 6922)
(1252, 6871, 6622, 6799, 5803)
(1303, 6209, 6821, -1, 6736)
(1331, 5826, 5155, 5131, 5493)
(1338, 6161, -1, 5105, 6776)
(1344, 6066, -1, 5229, 6989)
(1357, -1, 5839, 6000, 6981)
(1363, 6622, 5768, 6720, 6805)
(1364, -1, 5340, 5305, 5591)
(1379, 5566, 6511, 6643, 5481)
(1392, 6927, 6445, 5203, -1)
(1422, 6720, 5090, -1, 6066)
(1453, -1, 6161, 6403, 5286)
(1475, 6461, 5970, -1, 5834)
(1525, 5550, 6705, 6610, 5785)
(1561, 5502, 6600, 6986, 5107)
(1565, 5803, 5826, 5593, 6666)
(1573, 6029, -1, 5591, 5821)
(1612, 5465, 6875, 6735, 6165)
(1628, 6639, 5558, 6748, 5559)
(1636, 6174, 5880, 6736, -1)
(1675, -1, -1, 6821, 6579)
(1693, 6152, 5155, 6799, 6348)
(1705, 6348, 6805, 6989, 6043)
(1805, 6639, 5351, 6863, 6951)
(1806, 5836, 5550, 5593, 5225)
(1807, 6871, 5000, 6681, 6055)
(1812, 5405, 6613, 5471, 6445)
(1859, -1, -1, 5286, 5223)
(1899, 5150, 5920, 5559, 6716)
(1973, 6643, 6174, -1, 6118)
(1980, 6735, 6600, 5239, 6686)
