#(id,roadId,roadId,roadId,roadId)
(10, 6355, 5196, 5718, -1)
(25, 6549, 6939, 6247, -1)
(31, 6937, 6421, 6540, -1)
(48, -1, 6317, 5634, 5029)
(69, 5817, 5283, 5461, 6066)
(74, -1, 5267, 5649, 6937)
(90, 6308, 5196, 5725, 5509)
(96, 6179, 6893, 5321, 5093)
(97, 6177, 6795, 6366, 6469)
(100, 5349, 5321, 6120, 6394)
(109, -1, -1, 5695, 6811)
(111, 6664, 5292, 5777, 6008)
(112, 6345, 5093, 5023, 5526)
(132, 5748, 6969, 5894, 5189)
(152, 5275, 6789, 5687, 6236)
(153, 6452, 6702, -1, 5335)
(168, 5385, 6732, 6334, 5879)
(179, 6492, 5280, 5526, 5981)
(189, 6421, 5556, -1, 6852)
(203, -1, 6035, 6543, 5231)
(218, 6549, -1, 6332, 5923)
(233, 6117, -1, 6008, 6513)
(240, 6670, 6425, 6120, 6918)
(247, 5375, 6331, -1, -1)
(259, 5942, 5178, -1, -1)
(269, 5204, 6492, 5779, 5418)
(280, -1, 6918, 6893, 5544)
(289, 5372, 6365, 6807, 6425)
(297, 6703, 6301, 6644, 5420)
(303, 6427, -1, 5029, 6805)
(321, 6704, -1, 5978, 6252)
(332, 5656, 5748, 5556, 5649)
(335, 6469, 5015, 6956, -1)
(345, 5687, 6334, 6956, 6271)
(352, 5015, 5403, -1, 5137)
(371, 6048, 5375, 5178, 6359)
(375, -1, 6405, 5096, -1)
(376, 5096, 6777, 6301, -1)
(380, 6405, -1, 6042, 6112)
(386, 6854, 6299, 5274, 6016)
(391, 5549, 6999, 6811, 5275)
(397, 5647, 6290, -1, -1)
(405, -1, 5424, 6951, 6345)
(419, 5461, 5700, 6048, -1)
(421, 5023, 5349, -1, 5471)
(428, 5877, 5443, 6223, 6623)
(439, 6078, 5777, 6838, 6859)
(450, 6909, 5597, 5803, 5486)
(470, 6017, 6892, 5981, 5471)
(471, -1, 6059, 6223, 6488)
(473, 6734, 6979, -1, -1)
(487, 5283, 5893, -1, 5844)
(493, 6581, 5717, -1, 6897)
(504, 5923, 6737, 5998, 6403)
(505, 5779, 6892, 6467, 6673)
(520, 6901, 5906, 6395, 5372)
(554, 5695, -1, 5879, 6789)
(600, -1, -1, 6835, 6487)
(604, 6695, 6901, 6670, -1)
(651, 5271, 5443, 6755, 5231)
(674, 6299, -1, -1, 6703)
(679, 6247, 5788, 6288, -1)
(690, 6304, 5650, -1, 5248)
(710, 6359, 6530, 5262, 5640)
(731, 5700, 5844, -1, 6331)
(744, 6137, 5680, 6836, 6355)
(746, 6838, 6240, 5486, 5922)
(766, 6954, 6984, 6464, -1)
(776, 6542, 5805, 5386, -1)
(800, 5552, 5257, 5634, 5118)
(807, 5246, 6016, 6103, 5346)
(837, 6366, 5473, -1, 5403)
(841, 6465, 6513, 6078, 5998)
(851, -1, -1, 5407, 5978)
(857, 5788, 5781, 5922, 6517)
(898, 6288, 5955, 5407, -1)
(904, 5893, 5329, -1, -1)
(915, 5054, 6137, 6488, 5271)
(924, 6403, 6859, 5781, 6939)
(935, 6014, -1, 6427, 6253)
(964, 6732, 5495, 6088, -1)
(979, 6581, 5335, 5329, 5817)
(989, 5418, -1, 6240, 5292)
(1011, 6467, 5699, -1, 5640)
(1033, 6330, 5973, 6179, 6951)
(1083, -1, -1, 6014, 6035)
(1084, 5870, 6540, 6578, 5107)
(1108, 6418, 5771, 6177, 6088)
(1130, 6453, 6103, 5051, 5647)
(1133, 5013, 5248, 6961, 6308)
(1153, -1, 6659, 5399, 6317)
(1218, 5552, 6326, 5725, 6836)
(1222, -1, -1, 5807, 6954)
(1240, 5314, 6465, 6730, 6236)
(1242, 6623, 6458, 5656, 6678)
(1245, 6673, 5262, 6909, -1)
(1261, 6298, 6523, 6187, 5390)
(1281, 5894, 6537, -1, 6187)
(1302, 6517, 5803, 6252, 5955)
(1320, 5717, 6066, 5699, 6017)
(1337, -1, 6188, 5105, -1)
(1340, 5509, 6930, -1, -1)
(1393, 6067, 5659, 5592, 5495)
(1408, 6042, -1, 6487, 5809)
(1410, -1, 6999, 6197, -1)
(1424, 6330, 6295, 5390, 5650)
(1425, 6458, 6059, 5088, 6969)
(1451, 5973, 6304, 6993, 5544)
(1459, 5189, 6523, 5079, -1)
(1490, 6708, 5204, 6664, -1)
(1528, 6414, 6395, 6784, 5809)
(1575, 5399, 5346, 6580, 5118)
(1600, 6805, 5257, 5680, 6443)
(1608, 6543, 6253, 6443, 5054)
(1651, -1, 5386, 5659, 6734)
(1672, 6784, 6698, 6777, 6112)
(1673, 6124, 6785, 6678, 5267)
(1675, 5931, 5051, 5274, 5420)
(1696, -1, 5280, 6708, 5105)
(1743, 6556, 6295, 5424, 6188)
(1755, 6807, 6452, 6897, 6394)
(1758, 6578, 6852, 6348, 5771)
(1760, 6737, 5149, 5549, 6730)
(1765, 6659, -1, 5703, 5246)
(1804, 6785, 6984, 6568, 5877)
(1805, 6429, 6298, 6556, 5473)
(1815, 6854, 5703, -1, -1)
(1836, 6695, 6290, 5931, 5716)
(1837, -1, -1, 6993, 5013)
(1844, 6332, -1, 6197, 5149)
(1846, 6979, 6067, 5385, -1)
(1875, 5807, -1, 6755, 6568)
(1905, 6365, 6414, 6835, 6702)
(1906, -1, -1, 6464, 6124)
(1911, 6429, 6795, 6348, 5079)
(1913, 5088, 5718, 6961, 6537)
(1935, 6704, 5597, 6530, 5942)
(1960, 5716, 6644, 6698, 5906)
(1969, -1, 5870, 6542, -1)
(1970, 5314, 6271, 5137, 6117)
(1985, 6930, 6326, 6580, 6453)
(1992, 5805, 5107, 6418, 5592)
