#(id,from,to,speed,planTime)
(10000, 8, 32, 2, 4)
(10001, 9, 29, 4, 4)
(10002, 9, 32, 4, 6)
(10003, 8, 35, 6, 3)
(10004, 4, 23, 2, 1)
(10005, 2, 35, 4, 3)
(10006, 4, 29, 4, 1)
(10007, 32, 6, 6, 3)
(10008, 26, 1, 2, 4)
(10009, 4, 29, 6, 4)
(10010, 27, 4, 2, 6)
(10011, 10, 31, 2, 5)
(10012, 13, 33, 4, 3)
(10013, 1, 29, 4, 1)
(10014, 24, 1, 2, 2)
(10015, 7, 25, 2, 6)
(10016, 28, 7, 4, 4)
(10017, 23, 4, 4, 5)
(10018, 13, 32, 2, 5)
(10019, 7, 29, 6, 6)
(10020, 11, 30, 6, 6)
(10021, 13, 31, 2, 2)
(10022, 8, 29, 4, 6)
(10023, 1, 25, 2, 4)
(10024, 28, 4, 6, 3)
(10025, 22, 3, 4, 3)
(10026, 22, 1, 6, 1)
(10027, 7, 34, 2, 6)
(10028, 34, 15, 2, 6)
(10029, 13, 35, 6, 1)
(10030, 4, 27, 4, 1)
(10031, 15, 35, 2, 5)
(10032, 16, 36, 4, 1)
(10033, 25, 2, 2, 3)
(10034, 29, 2, 6, 6)
(10035, 15, 33, 2, 2)
(10036, 25, 4, 4, 3)
(10037, 29, 9, 6, 4)
(10038, 12, 31, 4, 3)
(10039, 32, 8, 4, 6)
(10040, 10, 32, 4, 2)
(10041, 12, 36, 4, 5)
(10042, 31, 10, 2, 1)
(10043, 33, 12, 4, 5)
(10044, 23, 2, 2, 1)
(10045, 35, 10, 4, 5)
(10046, 16, 34, 4, 4)
(10047, 9, 32, 2, 3)
(10048, 16, 34, 2, 6)
(10049, 10, 36, 6, 5)
(10050, 16, 36, 6, 5)
(10051, 14, 33, 6, 5)
(10052, 35, 8, 4, 4)
(10053, 2, 30, 6, 3)
(10054, 27, 7, 4, 4)
(10055, 2, 23, 2, 1)
(10056, 3, 24, 2, 5)
(10057, 28, 10, 4, 2)
(10058, 27, 8, 2, 2)
(10059, 13, 33, 4, 2)
(10060, 36, 4, 4, 6)
(10061, 18, 36, 2, 4)
(10062, 5, 25, 2, 2)
(10063, 22, 4, 4, 6)
(10064, 11, 30, 4, 2)
(10065, 1, 31, 2, 6)
(10066, 34, 12, 4, 5)
(10067, 12, 30, 2, 1)
(10068, 18, 36, 4, 6)
(10069, 30, 6, 2, 3)
(10070, 27, 2, 6, 6)
(10071, 16, 36, 2, 5)
(10072, 34, 10, 6, 3)
(10073, 21, 2, 6, 1)
(10074, 36, 1, 6, 6)
(10075, 20, 2, 6, 4)
(10076, 14, 34, 6, 1)
(10077, 8, 28, 6, 2)
(10078, 35, 4, 4, 5)
(10079, 6, 36, 6, 5)
(10080, 26, 1, 2, 6)
(10081, 15, 33, 6, 3)
(10082, 3, 25, 4, 6)
(10083, 5, 27, 4, 6)
(10084, 9, 31, 6, 5)
(10085, 33, 1, 4, 6)
(10086, 24, 6, 4, 2)
(10087, 36, 16, 6, 6)
(10088, 36, 5, 2, 3)
(10089, 35, 16, 6, 4)
(10090, 19, 1, 6, 3)
(10091, 12, 34, 2, 3)
(10092, 12, 33, 6, 2)
(10093, 35, 14, 2, 4)
(10094, 35, 15, 2, 5)
(10095, 28, 5, 4, 6)
(10096, 7, 25, 2, 2)
(10097, 20, 2, 6, 5)
(10098, 7, 31, 2, 1)
(10099, 32, 6, 6, 3)
(10100, 25, 5, 2, 5)
(10101, 9, 33, 2, 5)
(10102, 30, 9, 2, 5)
(10103, 32, 6, 6, 1)
(10104, 14, 34, 6, 6)
(10105, 34, 7, 4, 6)
(10106, 9, 34, 2, 5)
(10107, 16, 35, 2, 5)
(10108, 3, 36, 6, 5)
(10109, 26, 6, 6, 1)
(10110, 31, 6, 2, 6)
(10111, 19, 1, 4, 1)
(10112, 6, 27, 2, 1)
(10113, 32, 10, 6, 6)
(10114, 22, 1, 6, 2)
(10115, 35, 17, 6, 3)
(10116, 21, 2, 6, 5)
(10117, 17, 36, 6, 1)
(10118, 27, 9, 4, 3)
(10119, 11, 33, 4, 5)
(10120, 10, 30, 6, 5)
(10121, 33, 9, 4, 5)
(10122, 9, 28, 4, 3)
(10123, 36, 14, 2, 5)
(10124, 18, 36, 4, 3)
(10125, 27, 2, 4, 5)
(10126, 30, 12, 2, 3)
(10127, 22, 1, 6, 2)
(10128, 17, 36, 6, 5)
(10129, 12, 31, 4, 3)
(10130, 29, 4, 6, 4)
(10131, 11, 35, 4, 4)
(10132, 14, 32, 2, 3)
(10133, 15, 35, 2, 1)
(10134, 9, 34, 4, 1)
(10135, 33, 10, 2, 6)
(10136, 36, 6, 4, 4)
(10137, 19, 1, 2, 3)
(10138, 2, 26, 2, 2)
(10139, 6, 25, 2, 6)
(10140, 18, 36, 6, 5)
(10141, 21, 2, 6, 3)
(10142, 25, 3, 4, 5)
(10143, 12, 35, 2, 2)
(10144, 33, 7, 2, 2)
(10145, 16, 35, 2, 3)
(10146, 34, 11, 2, 5)
(10147, 11, 35, 4, 2)
(10148, 22, 4, 6, 2)
(10149, 15, 33, 6, 6)
(10150, 20, 1, 6, 2)
(10151, 11, 33, 6, 5)
(10152, 16, 34, 6, 2)
(10153, 11, 31, 6, 6)
(10154, 7, 25, 6, 3)
(10155, 32, 8, 6, 2)
(10156, 33, 6, 2, 2)
(10157, 30, 9, 2, 4)
(10158, 26, 6, 6, 6)
(10159, 13, 33, 4, 1)
(10160, 27, 7, 6, 5)
(10161, 7, 28, 6, 3)
(10162, 18, 36, 4, 4)
(10163, 35, 10, 4, 3)
(10164, 5, 28, 4, 4)
(10165, 12, 35, 6, 3)
(10166, 23, 5, 2, 5)
(10167, 36, 4, 6, 1)
(10168, 8, 31, 4, 3)
(10169, 13, 33, 4, 4)
(10170, 10, 29, 6, 5)
(10171, 3, 26, 4, 3)
(10172, 15, 33, 4, 6)
(10173, 13, 35, 2, 2)
(10174, 22, 3, 6, 3)
(10175, 10, 32, 4, 5)
(10176, 28, 6, 2, 5)
(10177, 8, 28, 6, 6)
(10178, 31, 12, 2, 4)
(10179, 18, 36, 4, 6)
(10180, 21, 1, 4, 2)
(10181, 35, 5, 6, 6)
(10182, 31, 2, 2, 2)
(10183, 34, 8, 2, 4)
(10184, 27, 7, 4, 2)
(10185, 18, 36, 6, 4)
(10186, 13, 36, 6, 1)
(10187, 33, 15, 4, 1)
(10188, 22, 2, 6, 1)
(10189, 14, 34, 2, 2)
(10190, 2, 24, 6, 4)
(10191, 35, 12, 2, 3)
(10192, 30, 1, 6, 1)
(10193, 28, 10, 4, 3)
(10194, 30, 12, 4, 5)
(10195, 32, 1, 2, 4)
(10196, 17, 35, 6, 1)
(10197, 12, 34, 2, 6)
(10198, 8, 27, 6, 4)
(10199, 10, 35, 2, 6)
(10200, 23, 1, 6, 5)
(10201, 20, 2, 6, 1)
(10202, 26, 8, 6, 5)
(10203, 1, 24, 4, 1)
(10204, 3, 21, 2, 3)
(10205, 32, 14, 2, 3)
(10206, 31, 12, 2, 4)
(10207, 36, 4, 6, 1)
(10208, 26, 8, 2, 6)
(10209, 3, 31, 6, 4)
(10210, 7, 34, 2, 3)
(10211, 28, 6, 4, 3)
(10212, 5, 24, 2, 4)
(10213, 1, 33, 4, 1)
(10214, 24, 2, 6, 5)
(10215, 5, 32, 4, 6)
(10216, 6, 26, 6, 2)
(10217, 11, 31, 6, 1)
(10218, 29, 7, 6, 5)
(10219, 6, 31, 4, 1)
(10220, 11, 36, 4, 5)
(10221, 32, 7, 6, 5)
(10222, 1, 30, 4, 5)
(10223, 30, 3, 4, 2)
(10224, 27, 9, 6, 4)
(10225, 14, 33, 4, 6)
(10226, 14, 32, 2, 5)
(10227, 9, 35, 2, 3)
(10228, 32, 5, 6, 2)
(10229, 32, 1, 2, 1)
(10230, 14, 33, 2, 5)
(10231, 19, 1, 2, 5)
(10232, 29, 6, 6, 4)
(10233, 31, 7, 6, 1)
(10234, 4, 24, 4, 2)
(10235, 14, 33, 4, 5)
(10236, 21, 1, 6, 3)
(10237, 29, 8, 4, 5)
(10238, 5, 23, 6, 6)
(10239, 12, 30, 6, 3)
(10240, 1, 23, 4, 5)
(10241, 4, 32, 6, 3)
(10242, 19, 1, 2, 6)
(10243, 14, 33, 4, 5)
(10244, 11, 32, 4, 5)
(10245, 32, 4, 4, 3)
(10246, 17, 35, 6, 4)
(10247, 30, 10, 6, 4)
(10248, 4, 27, 2, 4)
(10249, 10, 30, 2, 6)
(10250, 31, 12, 4, 2)
(10251, 30, 9, 6, 2)
(10252, 10, 36, 6, 6)
(10253, 36, 14, 2, 3)
(10254, 34, 13, 6, 2)
(10255, 17, 35, 6, 2)
(10256, 21, 2, 2, 6)
(10257, 21, 1, 6, 5)
(10258, 26, 3, 4, 1)
(10259, 19, 1, 4, 1)
(10260, 31, 10, 6, 3)
(10261, 12, 31, 6, 4)
(10262, 12, 35, 4, 2)
(10263, 28, 7, 6, 4)
(10264, 36, 4, 4, 4)
(10265, 16, 36, 6, 1)
(10266, 13, 32, 4, 3)
(10267, 33, 9, 6, 2)
(10268, 4, 34, 4, 2)
(10269, 24, 4, 2, 2)
(10270, 25, 2, 6, 2)
(10271, 9, 32, 2, 3)
(10272, 32, 7, 4, 5)
(10273, 19, 1, 2, 3)
(10274, 33, 13, 6, 1)
(10275, 33, 3, 6, 5)
(10276, 9, 27, 2, 6)
(10277, 3, 24, 2, 5)
(10278, 17, 36, 4, 5)
(10279, 28, 9, 6, 6)
(10280, 16, 35, 6, 5)
(10281, 11, 29, 2, 2)
(10282, 30, 6, 2, 5)
(10283, 13, 32, 4, 3)
(10284, 1, 21, 6, 4)
(10285, 36, 18, 2, 4)
(10286, 26, 8, 2, 1)
(10287, 23, 5, 6, 4)
(10288, 1, 30, 6, 1)
(10289, 16, 36, 2, 5)
(10290, 2, 35, 6, 5)
(10291, 8, 33, 2, 4)
(10292, 36, 9, 4, 3)
(10293, 16, 35, 2, 4)
(10294, 18, 36, 6, 5)
(10295, 27, 6, 4, 1)
(10296, 25, 4, 2, 6)
(10297, 32, 11, 2, 3)
(10298, 36, 6, 2, 5)
(10299, 31, 3, 4, 4)
(10300, 15, 36, 4, 6)
(10301, 31, 7, 6, 6)
(10302, 27, 5, 2, 2)
(10303, 23, 3, 4, 1)
(10304, 22, 4, 4, 6)
(10305, 4, 31, 6, 5)
(10306, 29, 6, 2, 2)
(10307, 29, 4, 4, 1)
(10308, 24, 1, 4, 4)
(10309, 3, 27, 6, 5)
(10310, 14, 32, 4, 2)
(10311, 10, 28, 4, 1)
(10312, 17, 36, 6, 3)
(10313, 26, 6, 6, 1)
(10314, 28, 3, 6, 2)
(10315, 28, 1, 2, 6)
(10316, 16, 36, 2, 2)
(10317, 35, 3, 2, 1)
(10318, 31, 4, 6, 2)
(10319, 26, 6, 2, 6)
(10320, 27, 5, 2, 3)
(10321, 26, 8, 4, 4)
(10322, 3, 26, 4, 1)
(10323, 23, 1, 4, 1)
(10324, 1, 36, 2, 6)
(10325, 33, 7, 4, 1)
(10326, 33, 6, 4, 3)
(10327, 33, 1, 2, 1)
(10328, 26, 5, 6, 3)
(10329, 3, 30, 2, 5)
(10330, 7, 35, 2, 4)
(10331, 4, 34, 4, 4)
(10332, 27, 3, 2, 2)
(10333, 17, 36, 4, 2)
(10334, 12, 30, 4, 4)
(10335, 28, 7, 6, 5)
(10336, 8, 27, 2, 1)
(10337, 36, 18, 4, 4)
(10338, 12, 33, 2, 2)
(10339, 35, 14, 6, 6)
(10340, 36, 1, 4, 1)
(10341, 16, 34, 6, 1)
(10342, 30, 5, 2, 4)
(10343, 13, 34, 4, 4)
(10344, 11, 36, 6, 6)
(10345, 3, 35, 2, 3)
(10346, 3, 34, 6, 4)
(10347, 3, 30, 6, 1)
(10348, 20, 2, 6, 4)
(10349, 24, 2, 4, 4)
(10350, 2, 32, 4, 1)
(10351, 13, 33, 2, 2)
(10352, 25, 5, 2, 5)
(10353, 12, 32, 6, 1)
(10354, 34, 10, 2, 2)
(10355, 36, 16, 4, 3)
(10356, 26, 3, 2, 1)
(10357, 3, 30, 6, 1)
(10358, 27, 7, 4, 5)
(10359, 3, 31, 6, 3)
(10360, 25, 5, 2, 1)
(10361, 8, 35, 4, 2)
(10362, 28, 4, 4, 2)
(10363, 30, 5, 2, 1)
(10364, 9, 27, 2, 3)
(10365, 21, 2, 4, 1)
(10366, 19, 1, 2, 1)
(10367, 1, 35, 2, 3)
(10368, 14, 33, 2, 6)
(10369, 2, 23, 4, 4)
(10370, 8, 35, 6, 6)
(10371, 4, 36, 2, 2)
(10372, 4, 27, 2, 1)
(10373, 10, 33, 4, 6)
(10374, 21, 3, 2, 2)
