#(id,from,to,speed,planTime)
(10000, 33, 11, 2, 1)
(10001, 27, 7, 2, 1)
(10002, 29, 5, 2, 1)
(10003, 4, 28, 6, 1)
(10004, 2, 21, 2, 1)
(10005, 6, 33, 6, 1)
(10006, 29, 9, 6, 1)
(10007, 23, 5, 6, 1)
(10008, 7, 36, 4, 1)
(10009, 14, 33, 2, 1)
(10010, 7, 28, 2, 1)
(10011, 29, 2, 6, 1)
(10012, 2, 21, 4, 1)
(10013, 27, 8, 4, 1)
(10014, 32, 12, 4, 1)
(10015, 9, 27, 6, 1)
(10016, 35, 16, 4, 1)
(10017, 3, 33, 2, 1)
(10018, 25, 5, 2, 1)
(10019, 20, 1, 6, 1)
(10020, 26, 4, 4, 1)
(10021, 32, 4, 4, 1)
(10022, 12, 36, 6, 1)
(10023, 5, 34, 4, 1)
(10024, 8, 26, 4, 1)
(10025, 31, 5, 2, 1)
(10026, 3, 33, 2, 1)
(10027, 3, 30, 6, 1)
(10028, 1, 29, 2, 1)
(10029, 15, 33, 4, 1)
(10030, 2, 24, 6, 1)
(10031, 23, 4, 2, 1)
(10032, 34, 13, 4, 1)
(10033, 12, 30, 2, 1)
(10034, 22, 1, 4, 1)
(10035, 36, 1, 4, 1)
(10036, 20, 2, 2, 1)
(10037, 17, 36, 4, 1)
(10038, 22, 3, 6, 1)
(10039, 16, 35, 4, 1)
(10040, 20, 2, 6, 1)
(10041, 14, 33, 2, 1)
(10042, 21, 2, 2, 1)
(10043, 32, 3, 6, 1)
(10044, 31, 13, 2, 1)
(10045, 17, 36, 6, 1)
(10046, 29, 9, 2, 1)
(10047, 29, 5, 4, 1)
(10048, 3, 34, 6, 1)
(10049, 24, 1, 2, 1)
(10050, 33, 13, 2, 1)
(10051, 16, 34, 4, 1)
(10052, 3, 31, 4, 1)
(10053, 6, 27, 6, 1)
(10054, 30, 12, 2, 1)
(10055, 17, 35, 4, 1)
(10056, 22, 3, 4, 1)
(10057, 31, 10, 2, 1)
(10058, 27, 1, 2, 1)
(10059, 34, 14, 6, 1)
(10060, 2, 27, 4, 1)
(10061, 26, 7, 2, 1)
(10062, 14, 35, 2, 1)
(10063, 12, 30, 4, 1)
(10064, 14, 33, 4, 1)
(10065, 12, 33, 6, 1)
(10066, 30, 6, 4, 1)
(10067, 30, 10, 4, 1)
(10068, 10, 32, 2, 1)
(10069, 31, 4, 2, 1)
(10070, 21, 3, 4, 1)
(10071, 23, 5, 2, 1)
(10072, 12, 30, 4, 1)
(10073, 27, 7, 4, 1)
(10074, 25, 2, 6, 1)
(10075, 8, 29, 4, 1)
